state,institution,year,faculty,enrolments
Queensland,James Cook University,2021,Mixed Field Programmes,885
Queensland,James Cook University,2021,Non-Award Courses,706
Queensland,James Cook University,2022,Natural and Physical Sciences,1929
Queensland,James Cook University,2022,Information Technology,1000
Queensland,James Cook University,2022,Engineering and Related Technologies,632
Queensland,James Cook University,2022,Architecture and Building,32
Queensland,James Cook University,2022,"Agriculture, Environmental and Related Studies",233
Queensland,James Cook University,2022,Health,5722
Queensland,James Cook University,2022,Education,1489
Queensland,James Cook University,2022,Management and Commerce,3714
Queensland,James Cook University,2022,Society and Culture,3479
Queensland,James Cook University,2022,Creative Arts,22
Queensland,James Cook University,2022,Mixed Field Programmes,866
Queensland,James Cook University,2022,Non-Award Courses,690
Queensland,James Cook University,2023,Natural and Physical Sciences,2033
Queensland,James Cook University,2023,Information Technology,1054
Queensland,James Cook University,2023,Engineering and Related Technologies,666
Queensland,James Cook University,2023,Architecture and Building,34
Queensland,James Cook University,2023,"Agriculture, Environmental and Related Studies",246
Queensland,James Cook University,2023,Health,6031
Queensland,James Cook University,2023,Education,1570
Queensland,James Cook University,2023,Management and Commerce,3914
Queensland,James Cook University,2023,Society and Culture,3666
Queensland,James Cook University,2023,Creative Arts,24
Queensland,James Cook University,2023,Mixed Field Programmes,913
Queensland,James Cook University,2023,Non-Award Courses,727
Queensland,James Cook University,2024,Natural and Physical Sciences,1987
Queensland,James Cook University,2024,Information Technology,1030
Queensland,James Cook University,2024,Engineering and Related Technologies,651
Queensland,James Cook University,2024,Architecture and Building,33
Queensland,James Cook University,2024,"Agriculture, Environmental and Related Studies",240
Queensland,James Cook University,2024,Health,5894
Queensland,James Cook University,2024,Education,1534
Queensland,James Cook University,2024,Management and Commerce,3825
Queensland,James Cook University,2024,Society and Culture,3583
Queensland,James Cook University,2024,Creative Arts,23
Queensland,James Cook University,2024,Mixed Field Programmes,892
Queensland,James Cook University,2024,Non-Award Courses,711
Queensland,Non-University Higher Education Providers,2020,Natural and Physical Sciences,91
Queensland,Non-University Higher Education Providers,2020,Information Technology,150
Queensland,Non-University Higher Education Providers,2020,Engineering and Related Technologies,303
Queensland,Non-University Higher Education Providers,2020,Health,4298
Queensland,Non-University Higher Education Providers,2020,Education,537
Queensland,Non-University Higher Education Providers,2020,Management and Commerce,561
Queensland,Non-University Higher Education Providers,2020,Society and Culture,2456
Queensland,Non-University Higher Education Providers,2020,Creative Arts,199
Queensland,Non-University Higher Education Providers,2020,Non-Award Courses,14
Queensland,Non-University Higher Education Providers,2021,Natural and Physical Sciences,95
Queensland,Non-University Higher Education Providers,2021,Information Technology,156
Queensland,Non-University Higher Education Providers,2021,Engineering and Related Technologies,315
Queensland,Non-University Higher Education Providers,2021,Health,4464
Queensland,Non-University Higher Education Providers,2021,Education,558
Queensland,Non-University Higher Education Providers,2021,Management and Commerce,583
Queensland,Non-University Higher Education Providers,2021,Society and Culture,2551
Queensland,Non-University Higher Education Providers,2021,Creative Arts,207
Queensland,Non-University Higher Education Providers,2021,Non-Award Courses,15
Queensland,Non-University Higher Education Providers,2022,Natural and Physical Sciences,88
Queensland,Non-University Higher Education Providers,2022,Information Technology,145
Queensland,Non-University Higher Education Providers,2022,Engineering and Related Technologies,293
Queensland,Non-University Higher Education Providers,2022,Health,4149
Queensland,Non-University Higher Education Providers,2022,Education,519
Queensland,Non-University Higher Education Providers,2022,Management and Commerce,542
Queensland,Non-University Higher Education Providers,2022,Society and Culture,2371
Queensland,Non-University Higher Education Providers,2022,Creative Arts,192
Queensland,Non-University Higher Education Providers,2022,Non-Award Courses,14
Queensland,Non-University Higher Education Providers,2023,Natural and Physical Sciences,82
Queensland,Non-University Higher Education Providers,2023,Information Technology,135
Queensland,Non-University Higher Education Providers,2023,Engineering and Related Technologies,273
Queensland,Non-University Higher Education Providers,2023,Health,3866
Queensland,Non-University Higher Education Providers,2023,Education,483
Queensland,Non-University Higher Education Providers,2023,Management and Commerce,505
Queensland,Non-University Higher Education Providers,2023,Society and Culture,2209
Queensland,Non-University Higher Education Providers,2023,Creative Arts,179
Queensland,Non-University Higher Education Providers,2023,Non-Award Courses,13
Queensland,Non-University Higher Education Providers,2024,Natural and Physical Sciences,84
Queensland,Non-University Higher Education Providers,2024,Information Technology,138
Queensland,Non-University Higher Education Providers,2024,Engineering and Related Technologies,279
Queensland,Non-University Higher Education Providers,2024,Health,3952
Queensland,Non-University Higher Education Providers,2024,Education,494
Queensland,Non-University Higher Education Providers,2024,Management and Commerce,516
Queensland,Non-University Higher Education Providers,2024,Society and Culture,2258
Queensland,Non-University Higher Education Providers,2024,Creative Arts,183
Queensland,Non-University Higher Education Providers,2024,Non-Award Courses,13
Queensland,Queensland University of Technology,2020,Natural and Physical Sciences,3391
Queensland,Queensland University of Technology,2020,Information Technology,6694
Queensland,Queensland University of Technology,2020,Engineering and Related Technologies,5917
Queensland,Queensland University of Technology,2020,Architecture and Building,2145
Queensland,Queensland University of Technology,2020,Health,8480
Queensland,Queensland University of Technology,2020,Education,4840
Queensland,Queensland University of Technology,2020,Management and Commerce,11994
Queensland,Queensland University of Technology,2020,Society and Culture,8427
Queensland,Queensland University of Technology,2020,Creative Arts,6586
Queensland,Queensland University of Technology,2020,Non-Award Courses,802
Queensland,Queensland University of Technology,2021,Natural and Physical Sciences,3427
Queensland,Queensland University of Technology,2021,Information Technology,6765
Queensland,Queensland University of Technology,2021,Engineering and Related Technologies,5980
Queensland,Queensland University of Technology,2021,Architecture and Building,2168
Queensland,Queensland University of Technology,2021,Health,8569
Queensland,Queensland University of Technology,2021,Education,4891
Queensland,Queensland University of Technology,2021,Management and Commerce,12121
Queensland,Queensland University of Technology,2021,Society and Culture,8517
Queensland,Queensland University of Technology,2021,Creative Arts,6656
Queensland,Queensland University of Technology,2021,Non-Award Courses,811
Queensland,Queensland University of Technology,2022,Natural and Physical Sciences,3221
Queensland,Queensland University of Technology,2022,Information Technology,6360
Queensland,Queensland University of Technology,2022,Engineering and Related Technologies,5622
Queensland,Queensland University of Technology,2022,Architecture and Building,2038
Queensland,Queensland University of Technology,2022,Health,8056
Queensland,Queensland University of Technology,2022,Education,4598
Queensland,Queensland University of Technology,2022,Management and Commerce,11395
Queensland,Queensland University of Technology,2022,Society and Culture,8007
Queensland,Queensland University of Technology,2022,Creative Arts,6257
Queensland,Queensland University of Technology,2022,Non-Award Courses,762
Queensland,Queensland University of Technology,2023,Natural and Physical Sciences,3353
Queensland,Queensland University of Technology,2023,Information Technology,6620
Queensland,Queensland University of Technology,2023,Engineering and Related Technologies,5851
Queensland,Queensland University of Technology,2023,Architecture and Building,2121
Queensland,Queensland University of Technology,2023,Health,8385
Queensland,Queensland University of Technology,2023,Education,4786
Queensland,Queensland University of Technology,2023,Management and Commerce,11860
Queensland,Queensland University of Technology,2023,Society and Culture,8333
Queensland,Queensland University of Technology,2023,Creative Arts,6512
